N°,Departamento,Municipio,Deporte 1,Deporte 2,Deporte 3,Deporte 4,Edad,Género,Grupo étnico,Condición de discapacidad,Grupo Vulnerable,Día inscripción,"Mes
inscripción",Año inscripción
9586,Antioquia,CHIGORODO,Fútbol de salon,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,8,Masculino,Ninguna,SI,Ninguna,16,5,2020
9587,Antioquia,CHIGORODO,Fútbol de salon,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Masculino,Ninguna,No,Ninguna,17,5,2020
9588,Antioquia,CHIGORODO,Fútbol de salon,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Masculino,Ninguna,No,Ninguna,17,5,2020
9589,Antioquia,CHIGORODO,Fútbol de salon,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Femenino,Ninguna,No,Ninguna,17,5,2020
9590,Antioquia,CHIGORODO,Fútbol de salon,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,7,Masculino,Ninguna,SI,Ninguna,17,5,2020
9591,Antioquia,CHIGORODO,Fútbol de salon,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,9,Masculino,Ninguna,SI,Ninguna,17,5,2020
9592,Antioquia,CHIGORODO,Levantamiento de pesas,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Femenino,Raizal,No,Ninguna,17,5,2020
9593,Antioquia,CHIGORODO,Levantamiento de pesas,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Femenino,Raizal,No,Ninguna,17,5,2020
9594,Antioquia,CHIGORODO,Levantamiento de pesas,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Femenino,Raizal,SI,Ninguna,17,5,2020
9595,Antioquia,CHIGORODO,Levantamiento de pesas,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Femenino,Raizal,No,Ninguna,17,5,2020
9596,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,8,Femenino,Ninguna,No,Ninguna,20,5,2020
9597,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Masculino,Raizal,No,Ninguna,20,5,2020
9598,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Femenino,Ninguna,No,Ninguna,20,5,2020
9599,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Femenino,Ninguna,No,Ninguna,20,5,2020
9600,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Femenino,Ninguna,No,Ninguna,20,5,2020
9601,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,9,Femenino,Ninguna,No,Ninguna,20,5,2020
9602,Antioquia,CHIGORODO,Levantamiento de pesas,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Femenino,Ninguna,No,Ninguna,20,5,2020
9603,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Femenino,Ninguna,No,Ninguna,22,5,2020
9604,Antioquia,CHIGORODO,Fútbol de salon,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Masculino,Ninguna,SI,Ninguna,21,5,2020
9605,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Femenino,Ninguna,No,Ninguna,21,5,2020
9606,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,7,Femenino,Ninguna,No,Ninguna,21,5,2020
9607,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Femenino,Ninguna,No,Ninguna,21,5,2020
9608,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Femenino,Ninguna,No,Ninguna,21,5,2020
9609,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,6,Femenino,Ninguna,No,Ninguna,21,5,2020
9610,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Femenino,Ninguna,No,Ninguna,21,5,2020
9611,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Femenino,Ninguna,No,Ninguna,21,5,2020
9612,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,6,Masculino,Ninguna,No,Ninguna,21,5,2020
9613,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Masculino,Ninguna,No,Ninguna,21,5,2020
9614,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Masculino,Ninguna,No,Ninguna,21,5,2020
9615,Antioquia,CHIGORODO,Atletismo,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Femenino,Ninguna,No,Ninguna,21,5,2020
